embedding dimension, vocabulary threshold, data source, category, average ERR, occurence
150, 30, wordnet, present-participle, 0.479915576557, 1708
150, 30, wordnet, superlative, 0.410384730385, 52
150, 30, wordnet, MemberOf, 0.506758623727, 108
150, 30, wordnet, currency, 0.490359151581, 88
150, 30, wordnet, nationality-adjective, 0.581005312616, 123
150, 30, wordnet, comparative, 0.43271110974, 65
150, 30, wordnet, plural-verbs, 0.484749228279, 1639
150, 30, wordnet, Entails, 0.479076315841, 88
150, 30, wordnet, PartOf, 0.460295341043, 637
150, 30, wordnet, InstanceOf, 0.495475835944, 744
150, 30, wordnet, plural-nouns, 0.50015949303, 3131
150, 30, wordnet, HasContext, 0.49112887882, 676
150, 30, wordnet, SimilarTo, 0.487053187683, 1336
150, 30, wordnet, RelatedTo, 0.493307131465, 77
150, 30, wordnet, past-tense, 0.490691738041, 1601
150, 30, wordnet, man-woman, 0.500621339445, 55
150, 30, wordnet, Antonym, 0.477783438026, 382
150, 30, wordnet, all-capital-cities, 0.406413985073, 103
150, 30, wordnet, city-in-state, 0.493897798236, 2377
150, 30, wordnet, DerivedFrom, 0.477314337195, 2689
150, 30, wordnet, Attribute, 0.459337614645, 115
150, 30, wordnet, adjective-to-adverb, 0.448684489216, 349
150, 30, wordnet, MadeOf, 0.449701860639, 24
150, 30, wordnet, IsA, 0.485700941103, 6780
150, 30, wordnet, Causes, 0.5, 23
50, 30, wordnet, present-participle, 0.49933438209, 1708
50, 30, wordnet, superlative, 0.451864196588, 52
50, 30, wordnet, MemberOf, 0.486491579611, 108
50, 30, wordnet, currency, 0.484943820384, 88
50, 30, wordnet, nationality-adjective, 0.504097163111, 123
50, 30, wordnet, comparative, 0.441761628266, 65
50, 30, wordnet, plural-verbs, 0.470904470773, 1639
50, 30, wordnet, Entails, 0.486168258825, 88
50, 30, wordnet, PartOf, 0.467976384963, 637
50, 30, wordnet, InstanceOf, 0.495448756081, 744
50, 30, wordnet, plural-nouns, 0.477293459586, 3131
50, 30, wordnet, HasContext, 0.492765485859, 676
50, 30, wordnet, SimilarTo, 0.488741547413, 1336
50, 30, wordnet, RelatedTo, 0.487918331668, 77
50, 30, wordnet, past-tense, 0.504110125932, 1601
50, 30, wordnet, man-woman, 0.477889858015, 55
50, 30, wordnet, Antonym, 0.491930832667, 382
50, 30, wordnet, all-capital-cities, 0.396913937193, 103
